,Source_airport,Destination_airport,Routes
1046,Gambia,Sierra Leone,6
1047,Ghana,Togo,6
1048,Honduras,Costa Rica,6
1049,Macau,Taiwan,6
1050,Taiwan,Macau,6
1051,Uganda,Ethiopia,6
1052,Ethiopia,Uganda,6
1053,Zambia,South Africa,6
1054,United Kingdom,Brazil,6
1055,United Kingdom,Croatia,6
1056,Jamaica,United Kingdom,6
1057,South Africa,Zambia,6
1058,South Africa,Zimbabwe,6
1059,Zimbabwe,South Africa,6
1060,Brazil,United Kingdom,6
1061,Croatia,United Kingdom,6
1062,Barbados,United Kingdom,6
1063,Latvia,Italy,6
1064,Luxembourg,Italy,6
1065,Italy,Latvia,6
1066,Italy,Luxembourg,6
1067,Thailand,United Arab Emirates,6
1068,United Arab Emirates,Thailand,6
1069,Sweden,Netherlands,6
1070,Netherlands,Sweden,6
1071,United Kingdom,Finland,6
1072,Japan,Finland,6
1073,Finland,United Kingdom,6
1074,Finland,Japan,6
1075,Switzerland,Finland,6
1077,Peru,Argentina,6
1078,Argentina,Peru,6
1079,Russia,India,6
1080,Singapore,South Korea,6
